客户名称,2019-04-28 00:00:00,生效起始日,生效截至日,2019-04-30
三门峡银行股份有限公司,1.11,20140221,20151230,1.11
江苏江南农村商业银行股份有限公司,7362311.69,20140304,20190930,7362311.69
晋中银行股份有限公司,32912.0,20150116,20190930,32912.0
内蒙古呼和浩特金谷农村商业银行股份有限公司,200000000.0,20150323,20191130,200000000.0
上饶银行股份有限公司,357607083.2,20110908,20191031,357607083.18
孝感市商业银行股份有限公司,0.0,20110908,20110908,0.0
宜昌市商业银行股份有限公司,0.0,20110908,20110908,0.0
乐山市商业银行股份有限公司,89141.4,20111013,20190930,89141.4
湖北银行股份有限公司,817691.19,20120209,20190831,817691.19
花旗银行（中国）,111111111.1,20140208,20160930,111111111.11
抚顺银行股份有限公司,155555555.6,20140807,20180930,155555555.56
宁波鄞州农村商业银行股份有限公司,555099.55,20100915,20190930,555099.55
株洲市商业银行股份有限公司,100000000.0,20100915,20120915,100000000.0
济宁银行股份有限公司,24533666.67,20100915,20191130,24533666.67
宁夏银行股份有限公司,4929323.91,20100914,20190930,4929323.91
江苏常熟农村商业银行股份有限公司,534520693.2,20100914,20190930,534520693.22
嘉兴银行股份有限公司,11993.92,20100914,20190930,11993.92
天津滨海农村商业银行股份有限公司,1345000000.0,20100915,20170517,1345000000.0
成都银行股份有限公司,1095563689.0,20100915,20191031,1095563689.42
荷兰合作银行（中国）有限公司,1.0,20100915,20120703,1.0
中金公司,1.0,20100915,20120703,1.0
中国电子科技财务有限责任公司,22645.77,20100915,20190630,22645.77
兰州银行股份有限公司,849227611.7,20101011,20191031,849227611.65
广东南粤银行股份有限公司,15164679.56,20101011,20191130,15164679.56
作废,0.0,20110907,20110922,0.0
广东顺德农村商业银行股份有限公司,163195830.3,20130122,20191130,163195830.28
江苏民丰农村商业银行股份有限公司,7500000.01,20131206,20170828,7500000.01
江苏紫金农村商业银行股份有限公司,12898466.04,20131206,20190930,12898466.04
海口农村商业银行股份有限公司,166666666.7,20131206,20180730,166666666.67
唐山银行股份有限公司,147000000.0,20131206,20190930,147000000.0
铜陵有色金属集团财务有限公司,0.0,20140311,20190930,0.0
南阳银行股份有限公司,1.11,20140408,20151230,1.11
德意志银行（中国）,166666666.7,20140408,20151215,166666666.67
汇丰银行（中国）,139588927.2,20140408,20190225,139588927.19
景德镇农村商业银行股份有限公司,55555555.56,20140916,20180930,55555555.56
中国大唐集团财务有限公司,27236115.94,20140916,20190930,27236115.94
保利财务有限公司,500000000.0,20140916,20191130,500000000.0
景德镇市商业银行股份有限公司,111111111.1,20140916,20150930,111111111.11
吉安农村商业银行股份有限公司,0.01,20160113,20170830,0.01
福建南安农村商业银行股份有限公司,36587860.0,20160310,20190930,36587860.0
黑河农村商业银行股份有限公司,111111111.1,20160310,20160930,111111111.11
浙江永康农村商业银行股份有限公司,4454205.1,20160310,20191130,4454205.1
浙江德清农村商业银行股份有限公司,23355989.76,20160310,20190930,23355989.76
海航集团财务有限公司,0.01,20110826,20170830,0.01
中集集团财务有限公司,104212.15,20160509,20190531,104212.15
申能集团财务有限公司,300000000.0,20160509,20190331,300000000.0
大唐电信集团财务有限公司,111111111.1,20160509,20160630,111111111.11
中化工程集团财务有限公司,0.01,20160509,20181227,0.01
重庆农村商业银行股份有限公司,2973954393.0,20101018,20190930,2973954392.99
自贡银行股份有限公司,182500.0,20101018,20190831,182500.0
南京市区联社清算中心,100000000.0,20110728,20110728,100000000.0
浙江稠州商业银行股份有限公司,8597706.71,20110804,20191031,8597706.71
莱商银行股份有限公司,615227777.8,20110829,20170823,615227777.78
威海市商业银行股份有限公司,51370542.62,20111019,20191130,51370542.62
上海农村商业银行股份有限公司,591842925.4,20111114,20191031,591842925.4
汉口银行股份有限公司,388149296.9,20121017,20191031,388149296.86
武汉农村商业银行股份有限公司,1414573430.0,20130625,20191130,1414573430.0
漯河银行股份有限公司,111111111.1,20131104,20151230,111111111.11
中原银行股份有限公司,554874441.2,20150407,20191231,554874441.16
中信财务有限公司,100031278.7,20160503,20191130,100031278.72
中交财务有限公司,527535643.3,20160503,20191130,527535643.31
中车财务有限公司,315745915.9,20160809,20190930,315745915.94
浙江稠州金融租赁有限公司,50000000.0,20171120,20180930,50000000.0
中节能财务有限公司,3333333.33,20171120,20180930,3333333.33
海南银行股份有限公司,0.0,20171120,20190930,0.0
新乡银行股份有限公司,11111111.11,20101018,20151230,11111111.11
遵义市商业银行股份有限公司,300000.0,20101018,20111018,300000.0
河北银行股份有限公司,724370044.1,20101018,20191130,724370044.09
中国重汽财务有限公司,45242841.0,20101104,20190831,45242841.0
平顶山银行股份有限公司,54736162.4,20110706,20191130,54736162.4
焦作中旅银行股份有限公司,47571.0,20110706,20200229,47571.0
广州银行股份有限公司,239413399.4,20130204,20190930,239413399.44
贵州银行股份有限公司,2946053.78,20131104,20190930,2946053.78
深圳农村商业银行股份有限公司,87678910.7,20140610,20191231,87678910.7
加拿大皇家银行,222222222.2,20160114,20160120,222222222.22
长春农村商业银行股份有限公司,8700000.0,20160321,20190930,8700000.0
浙江瑞安农村商业银行股份有限公司,96379900.0,20160411,20191130,96379900.0
湖北十堰农村商业银行股份有限公司,96177777.78,20160411,20180630,96177777.78
阜阳颍淮农村商业银行股份有限公司,24011111.11,20170103,20180830,24011111.11
浙江萧山农村商业银行股份有限公司,61735796.64,20170103,20191031,61735796.64
陕西秦农农村商业银行股份有限公司,108727663.0,20170103,20190930,108727663.0
潞安集团财务有限公司,222222222.2,20170307,20170930,222222222.22
营口银行股份有限公司,12896000.0,20100915,20190408,12896000.0
青海银行股份有限公司,63179.64,20101122,20190930,63179.64
长城华西银行股份有限公司,71341.33,20101122,20170904,71341.33
内蒙古银行股份有限公司,30000.0,20120305,20191130,30000.0
